"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ACAN",23.8027930456433,1.21165729745453,0.375072380994651,3.23046259562314,0.00123590074481732,0.00803608078459094,"ACAN"
"ACAP1",131.995516807038,0.570318093470189,0.18311464120612,3.11454119514244,0.00184231228686478,0.0110735219701703,"ACAP1"
"ACAP2",554.627809552328,-0.176173401291229,0.0776585157382981,-2.26856513566286,0.0232947837912216,0.0831965183293436,"ACAP2"
"ACAP3",15.9063789533368,0.343084252827073,0.362111618253793,0.947454418837829,0.343407272359003,0.556573640610946,"ACAP3"
"ACAT1",1179.46263412272,-0.529778696221759,0.112911214281027,-4.69199361281496,2.70555576458044e-06,4.0629983981889e-05,"ACAT1"
"ACAT2",316.763375295464,-0.431768800389496,0.225094495793367,-1.91816685196004,0.0550898578977104,0.158638188224335,"ACAT2"
"ACBD3",391.397747274233,0.072658365871501,0.0795068246088829,0.913863259272755,0.360788701387887,0.57268257380861,"ACBD3"
"ACBD4",31.2987375329149,-0.664492339463442,0.272311476109607,-2.44019219812822,0.014679449598887,0.0582496610507089,"ACBD4"
"ACBD5",356.089778025337,-0.165419040808668,0.114447141151547,-1.44537503640764,0.148352571435513,0.32038002635493,"ACBD5"
"ACBD6",142.823948549088,-0.120378431599453,0.0925762229073997,-1.3003169476882,0.193492361791273,0.382908255359329,"ACBD6"
"ACBD7",23.0842030641577,0.205001282334273,0.406231912325541,0.504641009517714,0.613811000728976,0.78437624684007,"ACBD7"
"ACCS",281.446520052645,-0.136416451059457,0.16485333914498,-0.827501898153765,0.407952646664039,0.616935412783231,"ACCS"
"ACCSL",4.34965334464144,-0.121900883998965,0.554133477894273,-0.21998469477461,0.825883074548232,0.913189352250041,"ACCSL"
"ACD",104.620656040991,-0.0647106974368915,0.18371806840581,-0.352228270188175,0.724667077204058,0.856055146623769,"ACD"
"ACE",186.875063593383,1.06929982948282,0.337105138753047,3.17200690988621,0.00151389404862081,0.00945234205267901,"ACE"
"ACE2",38.3350368593858,-0.0996159252677733,0.209286116526415,-0.475979615471532,0.634088900439838,0.798476145773029,"ACE2"
"ACER1",3.10304579403735,0.504579847703701,0.510872870597094,0.987681822121348,0.323308499818538,0.536152096367185,"ACER1"
"ACER2",25.9725361430771,0.511745363175128,0.187308745528512,2.73209540606971,0.00629329141676889,0.0296732406811332,"ACER2"
"ACER3",328.702667097832,-0.186190841740727,0.13354262203319,-1.3942428185546,0.163244291796952,0.341643416274924,"ACER3"
"ACHE",6.78132704899087,0.736110590150748,0.415901537064403,1.76991553180232,0.076741213028275,0.20179979745407,"ACHE"
"ACIN1",663.74454760527,-0.077500369857741,0.107057794113979,-0.7239115143287,0.469120060549658,0.672224366242137,"ACIN1"
"ACLY",892.767497812087,0.0856259826269873,0.123084868304106,0.695666200132991,0.486637897507325,0.686728270212717,"ACLY"
"ACMSD",16.2145840747645,-0.242049270268861,0.363953984534955,-0.665054596333494,0.506015573599185,0.701509942215858,"ACMSD"
"ACN9",156.394380299109,0.0457953757293348,0.114565769187908,0.399730007086344,0.689355388171901,0.833665380129377,"ACN9"
"ACO1",355.16458365607,-0.222863549073721,0.149663794131211,-1.48909460947072,0.136462457091369,0.302789903055213,"ACO1"
"ACO2",730.849163271781,-0.109769966987212,0.148601905308913,-0.738684788455588,0.460098424752138,0.6639859930035,"ACO2"
"ACOT1",20.5202602593313,0.270904857628863,0.247478433859192,1.09466046557818,0.273665414794017,0.48274310712533,"ACOT1"
"ACOT11",58.938205416756,-0.0431994172253835,0.247143267251717,-0.174795039758799,0.861240686034825,0.931693898594214,"ACOT11"
"ACOT12",5.77049068238856,-0.102370782589862,0.479588066326077,-0.21345565033359,0.830971577831549,0.916465269459894,"ACOT12"
"ACOT13",415.071379017034,-0.247131828603505,0.0897709331559019,-2.75291589287949,0.00590670689215396,0.0282044150180548,"ACOT13"
"ACOT2",102.880707500506,0.607172340983665,0.144764010910976,4.19422159667192,2.73810211314842e-05,0.000312120836955086,"ACOT2"
"ACOT4",23.828113862731,0.249187964149087,0.228661245044519,1.08976912156921,0.275814859164099,0.485010950839907,"ACOT4"
"ACOT6",4.12357009555331,0.31132614615394,0.430243381238994,0.723604731018518,0.469308436067091,0.672415750853716,"ACOT6"
"ACOT7",235.812857363981,1.00779791235148,0.204150456718095,4.93654498036767,7.95187038890249e-07,1.36903630181626e-05,"ACOT7"
"ACOT8",211.26793441202,0.0876119684487563,0.0987498876620392,0.887210816366686,0.374965410100572,0.58684598807842,"ACOT8"
"ACOT9",696.512344495169,0.30176186017202,0.135004236595855,2.23520289274599,0.0254040316714959,0.0889117908473432,"ACOT9"
"ACOX1",828.953144833161,-0.1798800105188,0.0813207467914354,-2.21198178344502,0.0269679236443539,0.0930930197933903,"ACOX1"
"ACOX2",203.791689058183,0.405886333804992,0.116935745668591,3.47102018706342,0.000518485019491341,0.00388853618140629,"ACOX2"
"ACOX3",219.815596503256,0.00749046572135271,0.0928940353262493,0.0806345175451336,0.93573261454159,0.968640719563824,"ACOX3"
"ACOXL",234.924389261504,-1.4003130355785,0.202553350383667,-6.9133047314502,4.73491293455956e-12,2.46550004489213e-10,"ACOXL"
"ACP1",956.318601051379,-0.0641700137489343,0.116327703287384,-0.551631399361545,0.581200919153319,0.759166463041302,"ACP1"
"ACP2",450.734786506862,0.152297591831435,0.120510564591871,1.26376963171002,0.206312724133347,0.40063948274219,"ACP2"
"ACP5",2424.75227275887,0.0931961486258717,0.234525420432421,0.397381863569567,0.691085887611754,0.834809795020893,"ACP5"
"ACP6",80.5815183483189,-0.45918943135164,0.145860406565928,-3.14814309217005,0.00164311238952628,0.0101238969800973,"ACP6"
"ACPL2",106.62488446016,-0.35107574313349,0.10464916396751,-3.35478784371835,0.000794258730814195,0.00557988802012795,"ACPL2"
"ACPP",109.379798419507,-0.817165879780277,0.180895113735086,-4.51734633903371,6.26194384724047e-06,8.42636011241726e-05,"ACPP"
"ACPT",2.35654534561853,-0.954470877406641,0.582054903038765,-1.63982963191888,0.101040595201841,0.245422725980184,"ACPT"
"ACR",0.955728058104831,0.0674914557683793,0.954304009347703,0.0707232235296925,0.943618037410856,NA,"ACR"
"ACRBP",57.7623928054661,-0.783642204292179,0.238770153161514,-3.28199397586386,0.00103075807185208,0.00691575146107478,"ACRBP"
"ACRC",34.8924350825592,-0.63414415980883,0.160339153645793,-3.9550175075124,7.65290473976815e-05,0.000774114701000668,"ACRC"
