Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"479"	"NR4A2"	"516.8"	"Literature ChIP-seq,101;ARCHS4 Coexpression,1074;Enrichr Queries,851;GTEx Coexpression,41"	"GPM6A,PCDH9,ZBTB16,FAM107A,TAGLN3,MAPT,GRIA3"
"gene_set_query"	"480"	"TSC22D1"	"517.0"	"ARCHS4 Coexpression,136;Enrichr Queries,1332;GTEx Coexpression,83"	"CLDN5,PCDH9,GSTA4,FAM107A,RORB,TAGLN3,MAPT,NALCN,GRIA3"
"gene_set_query"	"481"	"POU4F2"	"518.0"	"ARCHS4 Coexpression,48;Enrichr Queries,658;ReMap ChIP-seq,181;GTEx Coexpression,1185"	"TFAP2A,GPM6A,GSTA4,DOK5,TUBB3,TAGLN3,RORB,MAPT,NALCN"
"gene_set_query"	"482"	"ARNT"	"518.6"	"Literature ChIP-seq,4;ARCHS4 Coexpression,980;Enrichr Queries,1347;ReMap ChIP-seq,56;GTEx Coexpression,206"	"TENM4,FAM107A,FBLN2,CDH6,ALDH3B2,ACOXL,MB,ITGB7,CCR7,GRIA3,TFAP2A,PCDH9,LGI4,EYA2,IL1R2,CYP4B1,ANO4,BMP7,CYP24A1,SYT12,PRR15L,DOK5,SLCO4C1,TAGLN3,TRIM55"
"gene_set_query"	"483"	"KDM2B"	"520.0"	"ARCHS4 Coexpression,838;GTEx Coexpression,202"	"COL17A1,TFAP2A,ALDH3B2,PKP1,TRAF1"
"gene_set_query"	"484"	"ZNF80"	"520.0"	"ARCHS4 Coexpression,913;Enrichr Queries,194;GTEx Coexpression,453"	"LAMP3,FCRL3,KCNA3,CHI3L2,ITGB7,CCR7,KCNN2"
"gene_set_query"	"485"	"RFX5"	"522.4"	"ARCHS4 Coexpression,1150;ENCODE ChIP-seq,37;Enrichr Queries,961;ReMap ChIP-seq,122;GTEx Coexpression,342"	"IL11,TUBB3,PRR15L,MB,CCR7,ITGB7,TRAF1,CHRDL2"
"gene_set_query"	"486"	"VSX2"	"522.7"	"ARCHS4 Coexpression,809;Enrichr Queries,384;GTEx Coexpression,375"	"TFAP2A,ZBTB16,RORB,NALCN,BMP7,GRIA3"
"gene_set_query"	"487"	"ZNF711"	"523.0"	"ARCHS4 Coexpression,523;Enrichr Queries,427;GTEx Coexpression,619"	"GPM6A,KEL,PCDH9,GSTA4,GRIA3"
"gene_set_query"	"488"	"FOXE3"	"523.7"	"ARCHS4 Coexpression,1138;Enrichr Queries,250;GTEx Coexpression,183"	"TFAP2A,NGFR,PLLP,LGI4,ZBTB16,CA4,KCNMB4,HES2"
"gene_set_query"	"489"	"ZSCAN23"	"524.0"	"ARCHS4 Coexpression,198;Enrichr Queries,92;GTEx Coexpression,1282"	"CDH6,TFAP2A,TENM4,PCDH9,GSTA4,TUBB3,ZBTB16,LRRK2,TAGLN3,PLXNA4"
"gene_set_query"	"490"	"PCGF2"	"525.5"	"ARCHS4 Coexpression,1049;ReMap ChIP-seq,2"	"NGFR,CXCL9,EYA2,HHIP,ZBTB16,USP44,RORB,BMP7,CXCL5,GJB2,DOK5,LAMP3,CA4,PKP1,KCNMB4,ZNF385B,KCNN2"
"gene_set_query"	"491"	"RAX"	"525.7"	"ARCHS4 Coexpression,594;Enrichr Queries,252;GTEx Coexpression,731"	"TFAP2A,NGFR,ZBTB16,RORB,IL13RA2,BMP7"
"gene_set_query"	"492"	"OTX2"	"525.8"	"ARCHS4 Coexpression,394;Enrichr Queries,391;ReMap ChIP-seq,101;GTEx Coexpression,1217"	"TFAP2A,CYP24A1,TENM4,DOK5,USP44,PI15,SLC39A8,PDCD1LG2,RORB,BMP7"
"gene_set_query"	"493"	"FOS"	"525.8"	"ARCHS4 Coexpression,1248;ENCODE ChIP-seq,54;Enrichr Queries,847;ReMap ChIP-seq,60;GTEx Coexpression,420"	"COL17A1,TFAP2A,NGFR,IL11,HHIP,LRRK2,FHL2,TRAF1,CYP24A1,CCL7,TUBB3,PKP1,TNS4,HES2,KRT6A"
"gene_set_query"	"494"	"PAX6"	"525.8"	"Literature ChIP-seq,121;ARCHS4 Coexpression,794;Enrichr Queries,289;ReMap ChIP-seq,199;GTEx Coexpression,1226"	"TFAP2A,IL11,MMP11,GJB2,TENM4,ZBTB16,MAPT,BMP7,GRIA3"
"gene_set_query"	"495"	"ZNF248"	"526.0"	"ARCHS4 Coexpression,27;Enrichr Queries,553;GTEx Coexpression,998"	"GPM6A,PCDH9,GSTA4,TUBB3,TAGLN3,MAPT,GRIA3"
"gene_set_query"	"496"	"ZNF107"	"527.3"	"ARCHS4 Coexpression,577;Enrichr Queries,579;GTEx Coexpression,426"	"LAMP3,USP44,CDCA7,CCR7,ITGB7"
"gene_set_query"	"497"	"STAT3"	"527.5"	"Literature ChIP-seq,21;ARCHS4 Coexpression,1173;ENCODE ChIP-seq,65;Enrichr Queries,1298;ReMap ChIP-seq,92;GTEx Coexpression,516"	"COL17A1,CETP,TENM4,GALNT15,HHIP,LRRK2,CDCA7,KCNA3,F13A1,RORB,FBLN2,CDH6,TUBB3,ZNF385B,HAS2,CCR7,KCNN2,TNS4,PAMR1,PLXNA4,KRT6A,TFAP2A,PCDH9,IL1R2,CYP4B1,CACNA2D2,TRAF1,PDCD1LG2,ANO4,KEL,FGF14,GSTA4,SYT12,DOK5,ITGA10,ITGA11,CHI3L2,PKP1,CLDN18,TAGLN3,MAPT"
