"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"SLFN12L",19.1437785260493,1.03154725503797,0.237589786921242,4.34171547693636,1.41374535627224e-05,0.000174325537431716,"SLFN12L"
"MYEOV",5.68575233640781,2.32541489702773,0.535896352074225,4.33929973217219,1.42937458735417e-05,0.00017591313964599,"MYEOV"
"TNFRSF10C",66.0459382614423,1.14261211577388,0.263313795666352,4.3393553037445,1.42901320944817e-05,0.00017591313964599,"TNFRSF10C"
"KIR3DS1",16.5402511949794,3.0307076198237,0.700043867206409,4.32931100720592,1.49576571897684e-05,0.000183259991732955,"KIR3DS1"
"IL18R1",202.574301323748,-1.32004218169802,0.305483371378787,-4.32115887598092,1.55211862939927e-05,0.000189437561634069,"IL18R1"
"CRABP1",6.07513720942267,2.77875604502849,0.643116966663635,4.32076307898411,1.55490552561669e-05,0.000189536257518238,"CRABP1"
"AMZ1",8.41555313009803,-1.12387562317138,0.260318910499727,-4.31730303808474,1.5794724265863e-05,0.000192164131036487,"AMZ1"
"POU2F3",31.4146582298272,-1.00425155656282,0.232697178103351,-4.31570148270892,1.59096861320133e-05,0.000193317314940798,"POU2F3"
"GFRA3",10.2637229547671,2.50866324463144,0.58205683245772,4.30999707371989,1.6325670633421e-05,0.000198120646407609,"GFRA3"
"PARD6B",1211.01970107281,-1.06370189095748,0.246875589716052,-4.30865559523692,1.64249905524594e-05,0.000199199790484954,"PARD6B"
"BMP7",22.0146392809287,1.35546372341183,0.315336069510024,4.29847345252314,1.71978494987308e-05,0.000207914947693804,"BMP7"
"LZTS1",52.7935072684157,1.13202846004225,0.263590866138936,4.29464221057482,1.74975292184061e-05,0.000211005446748331,"LZTS1"
"GFI1",10.0037124518743,1.52871180260509,0.356076894379406,4.29320696382006,1.76110701395563e-05,0.000211974451013931,"GFI1"
"SLC4A3",14.9676418665879,1.3962590703357,0.325244686390261,4.29294967377371,1.76314981553575e-05,0.000212087110893258,"SLC4A3"
